Snippet,Category,Date
"US Drone Strike In Afghanistan Kills, Wounds Several Civilians The attack targeted the home of a suspected 'Taliban commander.' | October 29, 2016 Be Sociable, Share! In this July, 2008 photo, a U.S. MQ-9 Reaper takes off from Joint Base Balad, Iraq. (Photo/U.S. Air Force by Tech. Sgt. Richard Lisum via Wikimedia Commons) 
A US drone strike has killed and wounded a number of civilians in Afghanistan’s Nangarhar Province today, though exact numbers are as yet unclear, with officials claiming that the home at the center of the attack was owned by a suspected Taliban commander. 
The putative commander does not appear to have been among the casualties, though at least four people were killed within the house, and the blast also wounded a number of people in the surrounding area. At least seven children and five women are in the hospital for treatment related to the strike. 
Official Afghan statements only labeled the 12 wounded as civilians, and everyone else was not a civilian. Locals offered varying estimates, and the Taliban claimed two civilians killed and over 30 wounded in their own report on the attack. 
The Nangarhar Province has been heavily targeted by US warplanes over the past several months, though generally trying to tamp down a growing ISIS faction therein. The Taliban has had a presence in Nangarhar throughout the US occupation, as indeed they have almost everywhere along the Pakistan border.",Foregin,
"Bobby Hutcherson, one of the most admired and accomplished vibraphonists in jazz, died on Monday at his home in Montara, Calif. He was 75. Marshall Lamm, a spokesman for Mr. Hutcherson’s family, confirmed the death, saying Mr. Hutcherson had long been treated for emphysema. Mr. Hutcherson’s career took flight in the early 1960s, as jazz was slipping free of the complex harmonic and rhythmic designs of bebop. He was fluent in that language, but he was also one of the first to adapt his instrument to a freer postbop language, often playing chords with a pair of mallets in each hand. He released more than 40 albums and appeared on many more, including some regarded as classics, like “Out to Lunch,” by the alto saxophonist, flutist and bass clarinetist Eric Dolphy, and “Mode for Joe,” by the tenor saxophonist Joe Henderson. Both of those albums were a byproduct of Mr. Hutcherson’s close affiliation with Blue Note Records, from 1963 to 1977. He was part of a wave of young artists who defined the label’s forays into experimentalism, including the pianist Andrew Hill and the alto saxophonist Jackie McLean. But he also worked with   stalwarts like the tenor saxophonist Dexter Gordon, and he later delved into   and   grooves. Mr. Hutcherson had a clear, ringing sound, but his style was luminescent and coolly fluid. More than Milt Jackson or Lionel Hampton, his major predecessors on the vibraphone, he made an art out of resonating overtones and chiming decay. This coloristic range of sound, which he often used in the service of emotional expression, was one reason for the deep influence he left on stylistic inheritors like Joe Locke, Warren Wolf, Chris Dingman and Stefon Harris, who recently assessed him as “by far the most harmonically advanced person to ever play the vibraphone. ” Robert Hutcherson was born in Los Angeles on Jan. 17, 1941. His father, Eli, was a brick mason, and his mother, Esther, was a hairdresser. Growing up in a black community in Pasadena, Calif. Mr. Hutcherson was drawn to jazz partly by way of his older siblings: His brother, Teddy, had gone to high school with Mr. Gordon, and his sister, Peggy, was a singer who worked with the Gerald Wilson Orchestra. (She later toured and recorded with Ray Charles as a Raelette.) Mr. Hutcherson, who took piano lessons as a child, often described his transition to vibraphone as the result of an epiphany: Walking past a record store one day, he heard a recording of Milt Jackson and was hooked. A friend at school, the bassist Herbie Lewis, further encouraged his interest in the vibraphone, so Mr. Hutcherson saved up and bought one. He was promptly booked for a concert with Mr. Lewis’s band. “Well, I hit the first note,” he recalled of that performance in a 2014 interview with JazzTimes. But, he added, “from the second note on it was complete chaos. You never heard people boo and laugh like that. I was completely humiliated. But my mom was just smiling, and my father was saying, ‘See, I told you he should have been a bricklayer. ’” Mr. Hutcherson persevered, eventually working with musicians like Mr. Dolphy, whom he had first met when Mr. Dolphy was his sister’s boyfriend, and the tenor saxophonist and flutist Charles Lloyd. In 1962, he joined a band led by a pair of Count Basie sidemen, the tenor saxophonist Billy Mitchell and the trombonist Al Grey, and it brought him to New York City for a debut engagement at Birdland. The group broke up not long afterward, but Mr. Hutcherson stayed in New York, driving a taxicab for a living, his vibraphone stashed in the trunk. He was living in the Bronx and married to his high school sweetheart, the former Beth Buford, with whom he had a son, Barry  —   the inspiration for his   tune, the lilting modernist waltz “Little B’s Poem. ” Mr. Hutcherson caught a break when Mr. Lewis, his childhood friend, came to town and introduced him to the trombonist Grachan Moncur III, who in turn introduced him to Mr. McLean. “One Step Beyond,” an album by Mr. McLean released on Blue Note in 1963, featured Mr. Hutcherson’s vibraphone as the only chordal instrument. From that point on, he was busy. The first album he released as a leader was “Dialogue” (1965) featuring Mr. Hill, the trumpeter Freddie Hubbard and the saxophonist and flutist Sam Rivers. Among his notable subsequent albums was “ !” (1966) with Mr. Henderson and the pianist McCoy Tyner among his partners. He and Mr. Tyner would forge a close alliance. After being arrested for marijuana possession in Central Park in 1967, Mr. Hutcherson lost his cabaret card, required of any musician working in New York clubs. He returned to California and struck a rapport with the tenor saxophonist Harold Land. Among the recordings they made together was “Ummh,” a funk shuffle that became a crossover hit in 1970. (It was later sampled by the rapper Ice Cube.) In the early ’70s Mr. Hutcherson bought an acre of land along the coast in Montara, where he built a house. He lived there with his wife, the former Rosemary Zuniga, whom he married in 1972. She survives him, along with their son, Teddy, a marketing production manager for the organization SFJazz his son Barry, a jazz drummer and two grandchildren. After his tenure on Blue Note, Mr. Hutcherson released albums on Columbia, Landmark and other labels, working with Mr. Tyner, the tenor saxophonist Sonny Rollins and  —   onscreen, in the 1986 Bertrand Tavernier film “Round Midnight”  —   with Mr. Gordon and the pianist Herbie Hancock. From 2004 to 2007, Mr. Hutcherson toured with the first edition of the SFJazz Collective, an ensemble devoted equally to jazz repertory and the creation of new music. He was named a National Endowment for the Arts Jazz Master in 2010. After releasing a series of albums on the European label Kind of Blue, he returned to Blue Note in 2014 to release a   effort, “Enjoy the View,” with the alto saxophonist David Sanborn and other collaborators. Speaking in recent years, Mr. Hutcherson was fond of citing a bit of insight from an old friend. “Eric Dolphy said music is like the wind,” he told The San Francisco Chronicle in 2012. “You don’t know where it came from, and you don’t know where it went. You can’t control it. All you can do is get inside the sphere of it and be swept away. ”",Foregin,
"Tourist helicopter crashes into house in Sochi. Video 02.11.2016 | Source: Source: YouTube screencap The crash of Eurocopter AS-350 tourist helicopter in the city of Sochi was caught on video. The video shows the helicopter flying towards the sea, but then changing direction and losing altitude before crashing. The helicopter crashed on a residential private house. Luckily, no people living in the house were hurt. A fire did not break out as a result of the crash. A passenger of the helicopter was killed, while five other people on board suffered injuries of various degrees. It was established that the helicopter belonged to the Novosibirsk company ""Yeltsovka."" The helicopter was reportedly transporting passengers when it crashed. A criminal case was filed into the accident. Pravda.Ru",Foregin,
"  advocates have begun boycotting scheduled “stakeholder” meetings with immigration agency officials after the officials also invited   reform advocates according to CNN. [“We are frustrated and angry that what [has] felt like a productive conversation and an exchange of ideas and information about how to ensure the safe and fair treatment of immigrants in their [Immigration and Customs Enforcement] custody has morphed into a meeting with organizations whose mission is to restrict immigration,” one   advocate told CNN.   “Immigrants’ rights organizations have since notified ICE that they have dissolved the   Working Group and will no longer participate in the quarterly gatherings,” CNN said.  “It is not a surprise  —   they can’t tolerate anyone there that doesn’t agree with them” responded Mark Krikorian, director of the Center for Immigration Studies. “They figure they owned those meetings and the fact is now that they don’t, so they’re having a tantrum. ” Since the new administration arrived, Krikorian said he was invited to attend one ICE stakeholder meetings with the   groups. “It was just kind of a general information thing about what’s going on, what’s new with regard to ICE [policies on] detention, removal and all that,” he said.  Immigration advocates mostly “sat on one side of the table   …     we sat on the other side of the table,” he said, adding “one of them even kind of joked about it [although] it was not like there was some kind of icy atmosphere in the room. ” During the Obama administration, the   groups used the stakeholder meetings to lobby and pressure agencies, and to cooperate on shared goals. In 2010, for example, ICE officials used one of the meetings to ask   groups to collect complaints about ICE’s actions, according to a posting by a group titled “Stop Detaining Immigrants. ” ICE has informed members of the   Working Group   …      ICE has asked that NGOs provide to them complaints that we are seeing around the country specifically on issues that demonstrate that IGSA facilities are not currently meeting the baseline requirements   …      In order to respond to ICEs request for complaints data, we would like to provide examples of violations of detention standards to present a national overview of some of the more egregious violations for the snapshot period of January 1, 2010 to March 2010. Before Donald Trump’s election,   groups were invited to only a few of the events scheduled by Obama’s appointees.  Obama’s officials at the Department of State ended meetings with the   advocacy groups once the   groups managed to bypass bureaucratic barriers to get into the national and regional meetings, said Ann Corcoran, the director of Refugee Resettlement Watch. In 2016, for example, the main meeting in D. C. was canceled, and opponents of   refugee inflows were allowed only to submit recommendations that were never released, she said.  “The stakeholder meetings that the refugee industry has [with agency officials] are really keep very secretive,” she said. “They love to have stakeholder meetings [about refugees] and I’ve never gotten wind of them,“ Krikorian said.  The new boycott against the agencies comes alongside complaints by   groups about the administration’s hiring of two immigration experts formerly employed at   reform groups. According to CNN: Two   opponents of illegal immigration have obtained   advisory jobs at federal immigration agencies in the Department of Homeland Security. Jon Feere, a former legal policy analyst for the Center for Immigration Studies, or CIS, has been hired as an adviser to Thomas D. Homan, the acting director of Immigration and Customs Enforcement, according to Homeland Security spokesman David Lapan. At Customs and Border Protection, Julie Kirchner, the former executive director of the Federation for American Immigration Reform, or FAIR, has been hired as an adviser to Customs and Border Protection acting Commissioner Kevin McAleenan, said Lapan.   advocates protested the appointments, according to CNN:  “These groups have spent 20 years looking for ways that they could hurt immigrants and now they’ve been given the keys to the kingdom,” said Lynn Tramonte, deputy director of America’s Voice, a   advocacy group based in Washington whose goal is to create a pathway to citizenship for undocumented immigrants. The agencies should continue to open up their meetings to all side in the debate, said Krikorian.  “Obviously these kinds of information sessions with ICE officials should be open any interested party,” Krikorian said, adding “you can’t just grab people off the street, but any organization that works on the immigration issue should be able to come to these meetings. ” “It is outrageous that that wasn’t the case before, and I have to give credit to the agencies,” Krikorian said. ",Foregin,
"Zero Hedge – by Tyler Durden 
Project Veritas has just released Part IV of it’s multi-part series exposing numerous scandals surrounding the DNC and the Clinton campaign, including efforts to incite violence at Trump rallies and, at least what seems to be, illegal coordination between the DNC, Hillary For America and various Super PACs. 
Part IV focuses on a $20,000 foreign donation made by an undercover Project Veritas journalist to Americans United for Change (AUFC). Ironically, shortly after the $20k donation wire was released, the contributor’s “niece” was offered an internship with Creamer’s firm, Democracy Partners. 
In the new video, Creamer says: “Every morning I am on a call at 10:30 that goes over the message being driven by the campaign headquarters … I am in this campaign mainly to deal with what earned media with television, radio, with earned media and social media, not with paid media, not with advertising.” He also mentions a conference call discussing a woman potentially coming forward to accuse Trump of inappropriate behavior. 
Creamer, a seasoned Chicago activist who is married to Rep. Jan Schakowsky (D-IL), whose Republican opponent, Joan McCarthy Lasonde has called for her to resign over her husband’s activities, also talks about his work with Barack Obama, whom he says he has known since the 1980s, when Obama was a community organizer in Chicago: “He’s a pro, I’ve known the President since he was a community organizer in Chicago.” 
Elsewhere, Creamer adds: “I do a lot of work with the White House on their issues, helping to run issue campaigns that they have been involved in. I mean, for immigration reform for the… the health care bill, for trying to make America more like Britain when it comes to gun violence issues.” In the effort to prove the credibility of the undercover donor featured in the videos and to keep the investigation going, Project Veritas Action made the decision to donate twenty thousand dollars to Robert Creamer’s effort. Project Veritas Action had determined that the benefit of this investigation outweighed the cost. And it did. 
“First thing, like I said, thank you for the proposal. And I’d like to get the $20,000 across to you. The second call I’m going to make here is to my money guy and he’s going to get in touch with you and auto wire the funds to you,” said the PVA journalist. 
Creamer told the PVA journalist to send the money to Americans United for Change. Shortly after the money was released, the “donors” “niece” – another Project Veritas Action journalist – was offered an internship with Creamer. 
In an effort to see how far Creamer would go with the promise of more money, another Project Veritas journalist posing as the donor’s money liaison requested a meeting with Creamer. During that meeting, Creamer spoke about connections he had with Obama and Clinton. 
AUFC President, Brad Woodhouse, subsequently returned the money, after Project Veritas started to release their undercover videos, citing “concerns that it might have been an illegal foreign donation.” Oddly, Woodhouse was not terribly concerned about the “legality” of the donation when he chose to accept it a month prior. In an unexpected twist, AUFC president Brad Woodhouse, the recipient of the $20,000, heard that Project Veritas Action was releasing undercover videos exposing AUFC’s activities. He told a journalist that AUFC was going to return the twenty thousand dollars. He said it was because they were concerned that it might have been an illegal foreign donation. Project Veritas Action was pleased but wondered why that hadn’t been a problem for the month that they had the money. 
While the latest video focuses on the “ $20,000 illegal foreign contribution” from an undercover Project Veritas journalist , the following comments from Robert Creamer were also rather intriguing in light of recent White House efforts to vehemently deny any connections between he and President Obama. “Oh Barack Obama’s was the best campaign in the history of American politics, I mean the second one, I mean the first was good too. I was a consultant to both, the second one, was everything hit on every level and every aspect. 
He’s a pro. I’ve known the President since he was a community organizer in Chicago. 
I was just at and event with him in Chicago actually, on Friday last. He is just as good as ever. I do a lot of work with the White House on their issues. Helping to run issued campaigns that they have been involved in. I mean, for immigration reform for the…the health care bill…trying to make America more like Britain when it comes to gun violence issues.” 
* * * 
As a reminder, video 3 directly linking Donna Brazile and Hillary Clinton to efforts to disrupt Trump events. 
Video 2 provided the democrat playbook on how to commit “mass voter fraud”: 
Video 1 revealed DNC efforts to incite violence at Trump rallies:",Foregin,
"  lady Michelle Obama is calling into question the “motives” of those who oppose her bland, tasteless, and universally hated school lunch rules, insisting that those who oppose her ideas don’t care about kids and don’t mind if they “eat crap. ”[Speaking at the annual Partnership for a Healthier America conference, Michelle Obama responded with venom to critics of her school lunch program.  Warming to her reply, Mrs. Obama slammed anyone who stood against her policy and characterized critics as people who don’t want kids to be healthy. Michelle Obama criticizes Trump administration’s decision on school lunch rules: “Think about why someone is OK with your kids eating crap. ” pic. twitter.   —   Bradd Jaffy (@BraddJaffy) May 12, 2017,  Saying, “This is where you have to look at motives,” Obama also hinted that she felt the only reason people opposed her nutrition rules is because people opposed her husband on a political level. “It’s not politics, it’s parenting,” she insisted. “You have to stop and think, ‘Why don’t you want our kids to have good food at school? What is wrong with you and why is that a partisan issue?” Obama said. “Why would that be political?” “Moms, think about this. I don’t care what state you live in, take me out of the equation, like me, don’t like me, but think about why someone is OK with your kids eating crap,” the former first lady continued. “Because here’s the secret: If somebody is doing that, they don’t care about your kid, and we need to demand everyone to care deeply about our kids,” Obama exclaimed. “Every elected official on this planet should understand, don’t play with our children, don’t do it,” she concluded. Nowhere in the discussion did Obama note that it is the role of parents to guide their children’s eating habits, not that of the government. In another part of her appearance, Obama ran contrary to the penchant of liberals who constantly insist that children should be given the same   power as adults. At one point, Michelle Obama claimed that kids should not have any say in the foods they eat at school. “How about we stop asking kids how they feel about their food? Kids, my kids included, if they could eat pizza and french fries every day with ice cream on top and a soda, they would think they were happy until they got sick,” she said during the session. “That to me is one of the most ridiculous things we talk about in this movement, that the kids aren’t happy. Well, you know what? Kids don’t like math, either. So what are we going to do, stop teaching math? We gonna cut history out because there are kids who are bored with history? We are the adults in the room, you know? They look to us. So let’s just stop with that. I’m good if kids are mad at me,” she concluded. Obama is unhappy that the Trump administration has begun the process of rolling back the unappetizing food restrictions the former first lady put into place during her husband’s tenure in the White House. Late last month, U. S. Secretary of Agriculture Sonny Perdue began easing some of the restrictions Obama worked to enforce in school lunch programs throughout the country. Perdue put in place an interim rule for the   school year that suspended Obama’s requirements for sodium reduction and whole grains. The new rules also once again permitted   flavored milk in school cafeterias. Follow Warner Todd Huston on Twitter @warnerthuston or email the author at igcolonel@hotmail. com.",Foregin,
"JUBA, South Sudan  —   South Sudan slid rapidly closer to war on Monday as helicopter gunships pounded targets, two United Nations peacekeepers were killed, foreign governments scrambled to get their citizens out and worries grew about the fate of civilians trapped in crowded displaced persons camps. Gunfire rang out from different quarters, moving across Juba, the capital, like a thunderstorm, on and off, and witnesses said hundreds of people had been killed in the past three days. The fighting completely overshadowed the fifth anniversary this weekend of the country’s independence. In Juba, few celebrated because people were hunkered down indoors. South Sudan, the world’s youngest country and one of its poorest, cracked open into civil war in December 2013 after the nation’s two top politicians, President Salva Kiir and Vice President Riek Machar, bitterly split. Mr. Machar became the leader of a rebel group, and an estimated 50, 000 people have been killed since then. Each side has been blamed for widespread atrocities against civilians. But after a peace agreement, Mr. Machar returned to Juba in April and was sworn into his old position as Mr. Kiir’s vice president, essentially returning the country to the fragile political situation it was in before the war. The latest violence seems to be fueled by the same rivalry between the two men, who are from different ethnic groups and have tens of thousands of heavily armed young men following them. But there are also worries that the top leaders are losing control over their troops. “In the last 2 hrs, we went through heavy bombardments by Pres Kiir helicopters,” Mr. Machar wrote on Twitter on Monday. “This tells that our partner is not interested in peace. ” On Monday, United Nations officials said that the large displaced persons camps in and around Juba that house thousands of people had been shelled, killing at least two civilians and wounding dozens. It was not clear if the mortar or artillery shells that had crashed into the camps were stray shots or were deliberately aimed at civilians seeking refuge. United Nations officials said they were deeply concerned and were trying to secure the camps as best as possible. Mr. Kiir’s spokesman read a statement signed by the president calling for a unilateral   beginning at 6 p. m. local time, and he urged Mr. Machar to tell his fighters to stand down as well. “This is a unilateral ” said the spokesman, Ateny Wek Ateny. “The president has declared, and is also urging the leader of the former rebel movement, Dr. Riek, who is still the first vice president of the republic of South Sudan, to also do the same and cease the hostilities. ” More than 10, 000 people may have been displaced by the latest fighting, the United Nations said, adding to the 30, 000 or so people who fled their homes during previous rounds of violence in Juba. On Monday, the maternity wing of a hospital run by the International Medical Corps was hit by shelling, the group said in a statement, adding that it had treated 139 people since July 8 for injuries inside what is supposed to be a protected area. Secretary General Ban   called on Monday for an “immediate arms embargo” against South Sudan, saying that its rival leaders had “made a mockery” of the peace deal they signed only months ago. The ball is now in the Security Council’s court. The United States and China, the two countries with the greatest stakes in the country, have been lukewarm to the idea of an arms embargo in the past. A group of African nations on Monday nudged the Security Council to strengthen the mandate of the peacekeeping mission, in part by sending in more troops from the region and by creating what it called an “intervention brigade. ” He also called for the peacekeeping mission to be reinforced. There are 12, 000 soldiers and police officers on the ground now. Mr. Ban said government troops had effectively been blocked from leaving their bases. Contingency plans are being explored to bring in more peacekeepers from the neighboring Democratic Republic of Congo, United Nations officials said Monday. The displaced persons camps are considered to be in danger. Thousands of people, mostly members of Mr. Machar’s ethnic group, the Nuer, are concentrated in rows of tents, easy targets for artillery. Many fled their homes in the past two years to escape ethnically targeted violence. Human rights groups say the violence between Nuer soldiers and those of the Dinka, Mr. Kiir’s group, has spawned a range of atrocities, including mass rape and the widespread killing of civilians. One senior Western official, who was not authorized to speak publicly, said the South Sudanese government was accusing Mr. Machar’s rebel forces of hiding in the displaced persons camps, which could be used as a pretext to storm them. The United States Embassy posted on its Facebook page: “The situation in Juba has significantly deteriorated. There is serious ongoing fighting between government and opposition forces, including near the airport, Unmiss locations, Jebel and elsewhere throughout Juba. ” (Unmiss is the acronym for the United Nations Mission in South Sudan.) The United States government is preparing to evacuate personnel from its embassy in Juba. Last week, when the fighting started, an American government car was sprayed by gunfire. The car was heavily armored, and no American employees were believed to have been hurt. In several past emergencies, United Nations peacekeepers in South Sudan have been outnumbered and did not stop massacres. In February, dozens of civilians were killed when soldiers overran a United Nations camp in Malakal, in the eastern part of the country. The two peacekeepers who were killed in the latest round of violence were believed to be Chinese. One was killed while sitting in an armored personnel carrier that was trying to protect a displaced persons camp. South Sudan’s recent history has been soaked in blood. Aid workers estimate that at least two million people have been killed in the past 30 years as South Sudan struggled against Sudan for independence and then factions in South Sudan turned on one another. In the beginning, Mr. Kiir and Mr. Machar fought together in the war for independence, but later Mr. Machar broke off and joined the   Sudanese government against Mr. Kiir and his rebels, who are not Arab. Mr. Machar eventually returned to the rebel fold and was a crucial figure in the South Sudanese government when it achieved independence five years ago. Many analysts said the mistrust between Mr. Kiir and Mr. Machar might run too deep to overcome. Western and African nations have exerted enormous pressure on the two to work together, even with the threat of sanctions and international isolation. The fighting began on Thursday over something relatively small. A group of soldiers loyal to Mr. Kiir stopped a vehicle carrying a group of soldiers loyal to Mr. Machar, a senior United Nations official said. An argument erupted over whether the vehicle could pass through a checkpoint, and guns were drawn. Shooting started, leading to rolling battles across Juba that continued through Monday. By Monday evening, the shooting had subsided, but aid officials said the two sides were using the lull to reposition their forces.",Foregin,
"Email 

Former President Bill Clinton can be heard telling his former mistress, Gennifer Flowers, to deny that he helped her get a state job in a series of recorded phone conversation from 1991. 
“If they ever asked if you’d talked to me about it, you can say no,” Clinton is heard saying in the recording. 
At the time, the media was making inquiries about Flowers’ alleged affair with Clinton, and she was concerned that they may question how she got a job as administrative assistant for the Arkansas Appeal Tribunal. 
Clinton can also be heard telling Flowers how to handle a grievance filed by soemone else who applied for the same positioned and claimed she was more qualified than Flowers. 
Flowers famously recorded a series of conversation she had with Clinton from December 1990 to December 1991, while he was still Governor of Arkansas. The audio segments about the state job were widely reported in the 1990’s, however, as other pay-for-play financial scandals have surfaced, the details may warrant revisiting. 

Here is a transcript of part of the recording: 
GF – But anyway, then Wednesday, there was a grievance filed in my office when I got the job by a girl who felt like she should have gotten it, a black girl named (deleted). And they called me as a witness. So I go in and uh, nothing big came of it. It’s just that they were questioning me about how I found out about the job. And I said, “Well, that personnel said it that it was a possibility there would be a position,” and then uh, “they told me that it would be advertised in the newspaper. And it was and I pursued it from there. 
BC – Good for you. 
GF: Yeah. We had a little bit of a scare recently because she had a spot on an X-ray. And she went and had it checked again and it wasn’t cancer. And it’s been almost, it’ll be two years in May that she’s now diagnosed cancer free. My stepfather has been through two angioplasties, but he’s doing good. And I am, I’m really, Bill what I’m afraid of is that if somebody in the press finds out that I’m working for the state. 
BC – Yeah. 
GF – They’re going to make a big deal of it. 
BC – Yeah. 
GF – Well the only thing that concerns me, where I’m, where I’m concerned at this point is the state job. 
BC – Yeah. I never thought about that, but as long as you say you’ve just been looking for one, you’d uh, check on it. If they ever asked if you’d talked to me about it, you can say no.",Foregin,
"Alabama Declares State Of Emergency Over Pipeline Explosion   — Gov. Robert Bentley (@GovernorBentley) November 1, 2016 
Governor Robert Bentley has declared a month-long state of emergency for Alabama after a pipeline explosion in Shelby County on Monday. 
The explosion killed one worker and injured six others.The blast shut down the pipeline, that supplies gasoline to millions of people, for the second time in less than two months , raising concerns over possible gas shortages and price hikes. 
The state of emergency came into effect on Tuesday and will last until December 1st unless the governor sees fit to end it sooner. 
RT reports: 
On Monday, construction crews working on the Colonial Pipeline in the area just south of Birmingham accidentally hit a transmission pipe, causing an explosion in which seven workers were injured, one of them fatally. The explosion also started a fire. The contractors were attempting to repair the pipeline segment that was damaged in September, spilling gas into the countryside. 
An extended shutdown could cause fuel shortages and higher gas prices in Alabama, Georgia, North and South Carolina, and Tennessee, similar to what happened after the September accident. 
“An accident of this magnitude is tough for any community to deal with, and I want to personally thank the local first responders for their immediate assistance to this accident, as well as the first responders from surrounding counties. They all provided resources and support to the help Shelby County in their time of need,” Bentley said, announcing the emergency declaration. 
The state of emergency will enable Alabama to obtain a waiver from the federal government for transporting gasoline through the state, and avert fuel shortages caused by the pipeline disruption. 
Aerial surveillance of the explosion site shows that the fire continues to burn. The gasoline line will remain out of service at least for the rest of the week, Colonial Pipeline said. The secondary pipeline – which transports diesel, jet fuel and other petroleum products, was returned to service Tuesday morning. Share This Article...",Foregin,
"“National Mood” Focus Group Reflects Angry, Divided America 0 shares by A. Griffee / November 7, 2016 / POLITICS / A focus group of 23 people put together by CBS News revealed a frightening look at what America has become – a divided nation. 
Republican pollster, public opinion analyst and CBS News consultant Frank Luntz interviewed the group, and even lost it himself during the heated discussion. He came away deeply disturbed by what he saw. 
Whether they were Republicans or Democrats, supporting Trump or Clinton, they were all angry. Out of the 23 people, only 3 raised their hands saying they were voting for a candidate. The others were voting just to vote against a candidate. 
“When we don’t agree on the same facts, how can we possibly agree on the same solutions?” Luntz asked. 
My “angry voter” focus group will be on @60Minutes tonight. 
First time I’ve ever lost my composure during a group. 😳 pic.twitter.com/6vUNsSVLEb 
— Frank Luntz (@FrankLuntz) November 6, 2016 How many of you are voting against a candidate? Pollster . @FrankLuntz asks a focus group, tonight on #60Minutes pic.twitter.com/v5Px4JrB9d 
— 60 Minutes (@60Minutes) November 6, 2016 Voters have become “vicious,” says pollster @FrankLuntz . They have “deep-seated resentment” about their choices for president pic.twitter.com/wFcM1gC18w 
— 60 Minutes (@60Minutes) November 6, 2016 

Sign up to get breaking news alerts from Dennis Michael Lynch. Subscribe ",Foregin,
"0 комментариев 0 поделились источник Pravda.Ru 
Как пишет Wall Street Journal, ссылаясь на свои источники, санкционные репрессии могут быть направлены против министров и их заместителей из правительства Сирии. 
По данным издания, в ЕС не будут тянут время, и, скорее всего, список будет расширен уже на следующей неделе. 
Отметим, в настоящее время в санкционных сирийских списках Европейского союза находятся более 200 человек и около 70 организаций. Напомним, недавно еще пять стран, не входящие в ЕС, но поддерживающие политику Брюсселя, продлили еще на полгода санкции против России . В список этих стран вошли Украина, Черногория, Албания, а также Лихтенштейн и Норвегия, входящие в Европейское экономическое пространство. 
Что заставило руководителей этих стран принять такое решение, рассказал Pravda.Ru старший научный сотрудник Института славяноведения РАН Петр Искендеров. 
- Какие у этих стран причины для присоединения к санкциям? 
- Позиция Черногории связана с позицией правящей элиты, которая одержала победу на днях на очередных парламентских выборах, - конкретно, премьер-министра Мило Джукановича. Он провозгласил вступление в ЕС и НАТО своим ключевым внешнеполитическим приоритетом. И понятно, что внешняя политика Черногории полностью находится в русле Брюсселя. 
Если говорить об Албании, то эта страна уже является членом НАТО. Она тоже активно пытается продвинуть свою заявку на вступление в Европейский союз и четко солидаризируется по внешнеполитическим вопросам с ключевыми лидерами ЕС, такими как Франция, Германия и Италия. А поскольку все эти страны пока официально не блокируют антироссийские санкции, подобного нельзя ожидать и от Албании. Ее внешняя политика полностью солидаризируется с политикой ЕС. 
Лихтенштейн - это карликовое государство, которое финансово и экономически связано с государствами Центральной Европы, прежде всего со Швейцарией, Австрией, Бельгией, Голландией, Германией. Поэтому от этого государства ожидать самостоятельности во внешней политике не приходится. 
В Норвегии другая ситуация. Эта страна полностью самодостаточная и в политическом, и в энергетическом плане, она не является членом ЕС, но связана с Брюсселем торгово-экономическими соглашениями. Кроме того, Норвегия является одним из конкурентов России в том, что касается освоения Арктического шельфа, это наш конкуренты на энергетическом рынке, в плане снабжения Европейского союза газом. И в принципе, Норвегия среди скандинавских стран традиционно занимает наиболее ярко выраженную антироссийскую позицию, по сравнению даже с Финляндией и Швецией. 
  Поделиться:",Foregin,
